# gmm-acc-stats-ali exp/tri3b/23.mdl "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/7/utt2spk scp:data/train/split8/7/cmvn.scp scp:data/train/split8/7/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/7/utt2spk ark:exp/tri3b/trans.7 ark:- ark:- |" "ark,s,cs:gunzip -c exp/tri3b/ali.7.gz|" exp/tri3b/23.7.acc 
# Started at Tue May  7 16:19:53 KST 2019
#
gmm-acc-stats-ali exp/tri3b/23.mdl 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/7/utt2spk scp:data/train/split8/7/cmvn.scp scp:data/train/split8/7/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/7/utt2spk ark:exp/tri3b/trans.7 ark:- ark:- |' 'ark,s,cs:gunzip -c exp/tri3b/ali.7.gz|' exp/tri3b/23.7.acc 
transform-feats --utt2spk=ark:data/train/split8/7/utt2spk ark:exp/tri3b/trans.7 ark:- ark:- 
apply-cmvn --utt2spk=ark:data/train/split8/7/utt2spk scp:data/train/split8/7/cmvn.scp scp:data/train/split8/7/feats.scp ark:- 
transform-feats exp/tri2b_ali/final.mat ark:- ark:- 
splice-feats ark:- ark:- 
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 50 utterances; for utterance s03f3ssjjh01-20150804-Korean-cps03051 avg. like is -49.2894 over 164 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5750 utterances; for utterance s03m1jrssj01-20150804-Koreanfactory1SNR10-cps03059 avg. like is -39.907 over 178 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5800 utterances; for utterance s03m1jrssj01-20150804-Koreanfactory1SNR10-cps03109 avg. like is -43.1112 over 182 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5850 utterances; for utterance s03m1jrssj01-20150804-Koreanfactory1SNR10-cps03159 avg. like is -42.1215 over 168 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5900 utterances; for utterance s03m1jrssj01-20150804-Koreanfactory1SNR10-cps03209 avg. like is -40.0962 over 156 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5950 utterances; for utterance s03m1jrssj01-20150804-Koreanfactory1SNR10-cps03261 avg. like is -42.1728 over 180 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6000 utterances; for utterance s03m1jrssj01-20150804-Koreanfactory1SNR10-cps03313 avg. like is -41.9815 over 154 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6050 utterances; for utterance s03m1jrssj01-20150804-Koreanfactory1SNR10-cps03363 avg. like is -40.575 over 148 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6100 utterances; for utterance s03m1jrssj01-20150804-Koreanfactory1SNR10-cps03414 avg. like is -44.615 over 170 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6150 utterances; for utterance s03m1ksihg01-20150804-Korean-cps03046 avg. like is -40.2994 over 123 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6200 utterances; for utterance s03m1ksihg01-20150804-Korean-cps03096 avg. like is -44.8318 over 172 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6250 utterances; for utterance s03m1ksihg01-20150804-Korean-cps03146 avg. like is -47.9498 over 133 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6300 utterances; for utterance s03m1ksihg01-20150804-Korean-cps03196 avg. like is -40.8871 over 145 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6350 utterances; for utterance s03m1ksihg01-20150804-Korean-cps03246 avg. like is -45.2048 over 154 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6400 utterances; for utterance s03m1ksihg01-20150804-Korean-cps03297 avg. like is -46.4657 over 170 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6450 utterances; for utterance s03m1ksihg01-20150804-Korean-cps03347 avg. like is -41.7174 over 169 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6500 utterances; for utterance s03m1ksihg01-20150804-Korean-cps03397 avg. like is -52.4844 over 171 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6550 utterances; for utterance s03m1ksihg01-20150804-Koreancar1SNR10-cps03030 avg. like is -46.467 over 181 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6600 utterances; for utterance s03m1ksihg01-20150804-Koreancar1SNR10-cps03080 avg. like is -42.6224 over 156 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6650 utterances; for utterance s03m1ksihg01-20150804-Koreancar1SNR10-cps03130 avg. like is -40.2326 over 125 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6700 utterances; for utterance s03m1ksihg01-20150804-Koreancar1SNR10-cps03180 avg. like is -42.5869 over 166 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6750 utterances; for utterance s03m1ksihg01-20150804-Koreancar1SNR10-cps03230 avg. like is -43.6732 over 148 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6800 utterances; for utterance s03m1ksihg01-20150804-Koreancar1SNR10-cps03281 avg. like is -42.8777 over 165 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6850 utterances; for utterance s03m1ksihg01-20150804-Koreancar1SNR10-cps03331 avg. like is -43.7742 over 161 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6900 utterances; for utterance s03m1ksihg01-20150804-Koreancar1SNR10-cps03381 avg. like is -44.8081 over 161 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 6950 utterances; for utterance s03m1ssggz02-20150804-Korean-cps03014 avg. like is -48.4794 over 146 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7000 utterances; for utterance s03m1ssggz02-20150804-Korean-cps03064 avg. like is -42.069 over 179 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7050 utterances; for utterance s03m1ssggz02-20150804-Korean-cps03114 avg. like is -50.9737 over 163 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7100 utterances; for utterance s03m1ssggz02-20150804-Korean-cps03164 avg. like is -40.8002 over 171 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7150 utterances; for utterance s03m1ssggz02-20150804-Korean-cps03214 avg. like is -49.0651 over 150 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7200 utterances; for utterance s03m1ssggz02-20150804-Korean-cps03264 avg. like is -42.1455 over 177 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7250 utterances; for utterance s03m1ssggz02-20150804-Korean-cps03315 avg. like is -49.6779 over 161 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7300 utterances; for utterance s03m1ssggz02-20150804-Korean-cps03365 avg. like is -47.2775 over 161 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7350 utterances; for utterance s03m1ssggz02-20150804-Korean-cps03415 avg. like is -50.9436 over 207 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7400 utterances; for utterance s03m1ssggz02-20150804-KoreanbabbleSNR10-cps03047 avg. like is -47.1144 over 159 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7450 utterances; for utterance s03m1ssggz02-20150804-KoreanbabbleSNR10-cps03097 avg. like is -47.2727 over 161 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7500 utterances; for utterance s03m1ssggz02-20150804-KoreanbabbleSNR10-cps03147 avg. like is -47.9059 over 165 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7550 utterances; for utterance s03m1ssggz02-20150804-KoreanbabbleSNR10-cps03197 avg. like is -47.1966 over 194 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7600 utterances; for utterance s03m1ssggz02-20150804-KoreanbabbleSNR10-cps03247 avg. like is -46.8738 over 144 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7650 utterances; for utterance s03m1ssggz02-20150804-KoreanbabbleSNR10-cps03297 avg. like is -47.7857 over 156 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7700 utterances; for utterance s03m1ssggz02-20150804-KoreanbabbleSNR10-cps03348 avg. like is -48.9517 over 156 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7750 utterances; for utterance s03m1ssggz02-20150804-KoreanbabbleSNR10-cps03398 avg. like is -46.4965 over 177 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7800 utterances; for utterance s03m1ssgmg02-20150804-Korean-cps03030 avg. like is -55.4256 over 157 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7850 utterances; for utterance s03m1ssgmg02-20150804-Korean-cps03080 avg. like is -52.0976 over 147 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7900 utterances; for utterance s03m1ssgmg02-20150804-Korean-cps03132 avg. like is -53.3764 over 152 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 7950 utterances; for utterance s03m1ssgmg02-20150804-Korean-cps03183 avg. like is -55.9863 over 160 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8000 utterances; for utterance s03m1ssgmg02-20150804-Korean-cps03235 avg. like is -54.5982 over 158 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8050 utterances; for utterance s03m1ssgmg02-20150804-Korean-cps03285 avg. like is -51.5356 over 173 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8100 utterances; for utterance s03m1ssgmg02-20150804-Korean-cps03335 avg. like is -55.0925 over 147 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8150 utterances; for utterance s03m1ssgmg02-20150804-Korean-cps03385 avg. like is -49.4853 over 143 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8200 utterances; for utterance s03m1ssgmg02-20150804-KoreanhfchannelSNR10-cps03018 avg. like is -41.3008 over 140 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8250 utterances; for utterance s03m1ssgmg02-20150804-KoreanhfchannelSNR10-cps03068 avg. like is -40.5619 over 139 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8300 utterances; for utterance s03m1ssgmg02-20150804-KoreanhfchannelSNR10-cps03119 avg. like is -40.6032 over 125 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8350 utterances; for utterance s03m1ssgmg02-20150804-KoreanhfchannelSNR10-cps03171 avg. like is -40.7667 over 187 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8400 utterances; for utterance s03m1ssgmg02-20150804-KoreanhfchannelSNR10-cps03223 avg. like is -43.5605 over 147 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8450 utterances; for utterance s03m1ssgmg02-20150804-KoreanhfchannelSNR10-cps03273 avg. like is -36.6142 over 155 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8500 utterances; for utterance s03m1ssgmg02-20150804-KoreanhfchannelSNR10-cps03323 avg. like is -40.7954 over 163 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8550 utterances; for utterance s03m1ssgmg02-20150804-KoreanhfchannelSNR10-cps03373 avg. like is -43.6387 over 187 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8600 utterances; for utterance s03m1ssgpy01-20150804-Korean-cps03006 avg. like is -54.5222 over 152 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8650 utterances; for utterance s03m1ssgpy01-20150804-Korean-cps03056 avg. like is -47.9312 over 162 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8700 utterances; for utterance s03m1ssgpy01-20150804-Korean-cps03106 avg. like is -46.2445 over 133 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8750 utterances; for utterance s03m1ssgpy01-20150804-Korean-cps03156 avg. like is -53.9319 over 156 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8800 utterances; for utterance s03m1ssgpy01-20150804-Korean-cps03206 avg. like is -50.3261 over 175 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8850 utterances; for utterance s03m1ssgpy01-20150804-Korean-cps03256 avg. like is -49.9893 over 162 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8900 utterances; for utterance s03m1ssgpy01-20150804-Korean-cps03308 avg. like is -45.2961 over 150 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 8950 utterances; for utterance s03m1ssgpy01-20150804-Korean-cps03358 avg. like is -49.0375 over 149 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9000 utterances; for utterance s03m1ssgpy01-20150804-Korean-cps03409 avg. like is -46.6763 over 174 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9050 utterances; for utterance s03m1ssgpy01-20150804-KoreanpinkSNR10-cps03041 avg. like is -40.3484 over 163 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9100 utterances; for utterance s03m1ssgpy01-20150804-KoreanpinkSNR10-cps03091 avg. like is -41.1164 over 155 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9150 utterances; for utterance s03m1ssgpy01-20150804-KoreanpinkSNR10-cps03141 avg. like is -40.2901 over 136 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9200 utterances; for utterance s03m1ssgpy01-20150804-KoreanpinkSNR10-cps03191 avg. like is -40.882 over 163 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9250 utterances; for utterance s03m1ssgpy01-20150804-KoreanpinkSNR10-cps03241 avg. like is -40.2893 over 137 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9300 utterances; for utterance s03m1ssgpy01-20150804-KoreanpinkSNR10-cps03293 avg. like is -39.727 over 167 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9350 utterances; for utterance s03m1ssgpy01-20150804-KoreanpinkSNR10-cps03343 avg. like is -41.7556 over 147 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9400 utterances; for utterance s03m1ssgpy01-20150804-KoreanpinkSNR10-cps03393 avg. like is -37.9877 over 155 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9450 utterances; for utterance s03m1ssgyc01-20150804-Korean-cps03026 avg. like is -57.5785 over 144 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9500 utterances; for utterance s03m1ssgyc01-20150804-Korean-cps03076 avg. like is -52.9479 over 213 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9550 utterances; for utterance s03m1ssgyc01-20150804-Korean-cps03127 avg. like is -53.2799 over 180 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9600 utterances; for utterance s03m1ssgyc01-20150804-Korean-cps03178 avg. like is -44.5736 over 171 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9650 utterances; for utterance s03m1ssgyc01-20150804-Korean-cps03228 avg. like is -50.5616 over 186 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9700 utterances; for utterance s03m1ssgyc01-20150804-Korean-cps03279 avg. like is -53.6249 over 183 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9750 utterances; for utterance s03m1ssgyc01-20150804-Korean-cps03329 avg. like is -55.486 over 191 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9800 utterances; for utterance s03m1ssgyc01-20150804-Korean-cps03379 avg. like is -46.3575 over 199 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9850 utterances; for utterance s03m1ssgyc01-20150804-KoreanpinkSNR10-cps03012 avg. like is -39.9668 over 172 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9900 utterances; for utterance s03m1ssgyc01-20150804-KoreanpinkSNR10-cps03062 avg. like is -37.8411 over 207 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 9950 utterances; for utterance s03m1ssgyc01-20150804-KoreanpinkSNR10-cps03112 avg. like is -37.8978 over 196 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10000 utterances; for utterance s03m1ssgyc01-20150804-KoreanpinkSNR10-cps03163 avg. like is -37.3502 over 120 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10050 utterances; for utterance s03m1ssgyc01-20150804-KoreanpinkSNR10-cps03214 avg. like is -37.0962 over 186 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10100 utterances; for utterance s03m1ssgyc01-20150804-KoreanpinkSNR10-cps03264 avg. like is -36.9672 over 192 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10150 utterances; for utterance s03m1ssgyc01-20150804-KoreanpinkSNR10-cps03315 avg. like is -37.9365 over 167 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10200 utterances; for utterance s03m1ssgyc01-20150804-KoreanpinkSNR10-cps03365 avg. like is -38.2806 over 158 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10250 utterances; for utterance s03m1ssgyc01-20150804-KoreanpinkSNR10-cps03416 avg. like is -39.7316 over 185 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10300 utterances; for utterance s03m2ccjjp01-20150804-Korean-cps03049 avg. like is -53.4794 over 123 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10350 utterances; for utterance s03m2ccjjp01-20150804-Korean-cps03099 avg. like is -49.2937 over 162 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10400 utterances; for utterance s03m2ccjjp01-20150804-Korean-cps03149 avg. like is -51.1599 over 126 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10450 utterances; for utterance s03m2ccjjp01-20150804-Korean-cps03199 avg. like is -52.2179 over 145 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10500 utterances; for utterance s03m2ccjjp01-20150804-Korean-cps03249 avg. like is -46.2515 over 131 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10550 utterances; for utterance s03m2ccjjp01-20150804-Korean-cps03300 avg. like is -51.1019 over 140 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10600 utterances; for utterance s03m2ccjjp01-20150804-Korean-cps03350 avg. like is -45.9871 over 139 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10650 utterances; for utterance s03m2ccjjp01-20150804-Korean-cps03400 avg. like is -47.7282 over 120 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10700 utterances; for utterance s03m2ccjjp01-20150804-KoreandestroyeropsSNR10-cps03033 avg. like is -46.0525 over 129 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10750 utterances; for utterance s03m2ccjjp01-20150804-KoreandestroyeropsSNR10-cps03083 avg. like is -44.6207 over 137 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10800 utterances; for utterance s03m2ccjjp01-20150804-KoreandestroyeropsSNR10-cps03133 avg. like is -41.7859 over 113 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10850 utterances; for utterance s03m2ccjjp01-20150804-KoreandestroyeropsSNR10-cps03183 avg. like is -45.3488 over 142 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10900 utterances; for utterance s03m2ccjjp01-20150804-KoreandestroyeropsSNR10-cps03233 avg. like is -46.0002 over 142 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 10950 utterances; for utterance s03m2ccjjp01-20150804-KoreandestroyeropsSNR10-cps03284 avg. like is -43.882 over 120 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 11000 utterances; for utterance s03m2ccjjp01-20150804-KoreandestroyeropsSNR10-cps03334 avg. like is -46.7455 over 140 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 11050 utterances; for utterance s03m2ccjjp01-20150804-KoreandestroyeropsSNR10-cps03384 avg. like is -45.3954 over 202 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 11100 utterances; for utterance s03m2ksbsu02-20150804-Korean-cps03016 avg. like is -49.7321 over 149 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 11150 utterances; for utterance s03m2ksbsu02-20150804-Korean-cps03066 avg. like is -45.3894 over 154 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 11200 utterances; for utterance s03m2ksbsu02-20150804-Korean-cps03116 avg. like is -39.9862 over 127 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 11250 utterances; for utterance s03m2ksbsu02-20150804-Korean-cps03166 avg. like is -45.7711 over 165 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 11300 utterances; for utterance s03m2ksbsu02-20150804-Korean-cps03217 avg. like is -44.9283 over 200 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 11350 utterances; for utterance s03m2ksbsu02-20150804-Korean-cps03267 avg. like is -44.2601 over 157 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 11400 utterances; for utterance s03m2ksbsu02-20150804-Korean-cps03317 avg. like is -44.3105 over 163 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 11450 utterances; for utterance s03m2ksbsu02-20150804-Korean-cps03368 avg. like is -41.3194 over 146 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 11500 utterances; for utterance s03m2ksbsu02-20150804-Koreanleopard2SNR10-cps03002 avg. like is -45.9559 over 142 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 11550 utterances; for utterance s03m2ksbsu02-20150804-Koreanleopard2SNR10-cps03052 avg. like is -44.2295 over 148 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 11600 utterances; for utterance s03m2ksbsu02-20150804-Koreanleopard2SNR10-cps03102 avg. like is -45.6548 over 141 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 11650 utterances; for utterance s03m2ksbsu02-20150804-Koreanleopard2SNR10-cps03152 avg. like is -46.3156 over 171 frames.
